date	reason
2015-01-01	new year
2015-01-06	epifania del señor
2015-03-19	S. Jose
2015-04-02	Jueves Santo
2015-04-03	Viernes Santo
2015-04-07	Bando de la huerta
2015-05-01	Fiesta del trabajo
2015-06-09	Dia de la region de murcia
2015-08-15	Asuncion de la virgen
2015-09-15	Romeria
2015-10-12	Fiesta nacional
2015-12-07	Constitucion
2015-12-08	Inmaculada concepcion
2015-12-24	Navidad y año nuevo
2015-12-25	Navidad y año nuevo
2015-12-28	Navidad y año nuevo
2015-12-29	Navidad y año nuevo
2015-12-30	Navidad y año nuevo
2015-12-31	Navidad y año nuevo
2016-01-01	Navidad y año nuevo
2016-01-04	Navidad y año nuevo
2016-01-05	Navidad y año nuevo
2016-01-06	Navidad y año nuevo
2016-01-29	Santo Tomás
2016-03-21	Semana santa y primavera
2016-03-22	Semana santa y primavera
2016-03-23	Semana santa y primavera
2016-03-24	Semana santa y primavera
2016-03-25	Semana santa y primavera
2016-03-28	Semana santa y primavera
2016-03-29	Semana santa y primavera
2016-03-30	Semana santa y primavera
2016-03-31	Semana santa y primavera
2016-04-01	Semana santa y primavera
2016-06-09	Dia del trabajo
2016-08-01	University is closed (summer)
2016-08-02	University is closed (summer)
2016-08-03	University is closed (summer)
2016-08-04	University is closed (summer)
2016-08-05	University is closed (summer)
2016-08-06	University is closed (summer)
2016-08-07	University is closed (summer)
2016-08-08	University is closed (summer)
2016-08-09	University is closed (summer)
2016-08-10	University is closed (summer)
2016-08-11	University is closed (summer)
2016-08-12	University is closed (summer)
2016-08-13	University is closed (summer)
2016-08-14	University is closed (summer)
2016-08-15	University is closed (summer)
2016-08-16	University is closed (summer)
2016-08-17	University is closed (summer)
2016-08-18	University is closed (summer)
2016-08-19	University is closed (summer)
2016-08-20	University is closed (summer)
2016-08-21	University is closed (summer)
2016-08-22	University is closed (summer)
2016-08-23	University is closed (summer)
2016-08-24	University is closed (summer)
2016-08-25	University is closed (summer)
2016-08-26	University is closed (summer)
2016-08-27	University is closed (summer)
2016-08-28	University is closed (summer)
2016-08-29	University is closed (summer)
2016-08-30	University is closed (summer)
2016-08-31	University is closed (summer)
2016-09-13	Romería
2016-10-12	Fiesta nacional
2016-11-01	Dia de todos los santos
2016-12-06	Constitucion
2016-12-08	Inmaculada concepcion
2016-12-26	Navidad y año nuevo
2016-12-27	Navidad y año nuevo
2016-12-28	Navidad y año nuevo
2016-12-29	Navidad y año nuevo
2016-12-30	Navidad y año nuevo
2016-12-31	Navidad y año nuevo
2017-01-02	Navidad y año nuevo
2017-01-03	Navidad y año nuevo
2017-01-04	Navidad y año nuevo
2017-01-05	Navidad y año nuevo
2017-01-06	Navidad y año nuevo
2017-04-10	Semana santa y primavera
2017-04-11	Semana santa y primavera
2017-04-12	Semana santa y primavera
2017-04-13	Semana santa y primavera
2017-04-14	Semana santa y primavera
2017-04-15	Semana santa y primavera
2017-04-17	Semana santa y primavera
2017-04-18	Semana santa y primavera
2017-04-19	Semana santa y primavera
2017-04-20	Semana santa y primavera
2017-04-21	Semana santa y primavera
2017-05-01	Día del trabajo
2017-06-09	Dia de la region de murcia
2017-08-01	University is closed (summer)
2017-08-02	University is closed (summer)
2017-08-03	University is closed (summer)
2017-08-04	University is closed (summer)
2017-08-05	University is closed (summer)
2017-08-06	University is closed (summer)
2017-08-07	University is closed (summer)
2017-08-08	University is closed (summer)
2017-08-09	University is closed (summer)
2017-08-10	University is closed (summer)
2017-08-11	University is closed (summer)
2017-08-12	University is closed (summer)
2017-08-13	University is closed (summer)
2017-08-14	University is closed (summer)
2017-08-15	University is closed (summer)
2017-08-16	University is closed (summer)
2017-08-17	University is closed (summer)
2017-08-18	University is closed (summer)
2017-08-19	University is closed (summer)
2017-08-20	University is closed (summer)
2017-08-21	University is closed (summer)
2017-08-22	University is closed (summer)
2017-08-23	University is closed (summer)
2017-08-24	University is closed (summer)
2017-08-25	University is closed (summer)
2017-08-26	University is closed (summer)
2017-08-27	University is closed (summer)
2017-08-28	University is closed (summer)
2017-08-29	University is closed (summer)
2017-08-30	University is closed (summer)
2017-08-31	University is closed (summer)
